accuracy,dice_metric,iou_metric,loss,val_accuracy,val_dice_metric,val_iou_metric,val_loss,learning_rate
0.9947313070297241,0.373381108045578,0.2666381895542145,0.019947554916143417,0.9954782128334045,0.5933062434196472,0.44566917419433594,0.011804115027189255,9.999999747378752e-05
0.9959182739257812,0.5832982659339905,0.43705683946609497,0.010597269050776958,0.9961367845535278,0.6491678953170776,0.5057072639465332,0.009927863255143166,9.999999747378752e-05
0.9963178634643555,0.627069354057312,0.48342928290367126,0.009507567621767521,0.996463418006897,0.6363691687583923,0.4928075075149536,0.009090995416045189,9.999999747378752e-05
0.9965528249740601,0.6518177390098572,0.5093697905540466,0.00888125505298376,0.9966779351234436,0.6601764559745789,0.5163853764533997,0.008513242937624454,9.999999747378752e-05
0.9966851472854614,0.6694767475128174,0.5279833078384399,0.008480231277644634,0.9968007206916809,0.6797617077827454,0.5391585826873779,0.008165686391294003,9.999999747378752e-05
0.9967992305755615,0.6792060732841492,0.5388408303260803,0.008174940012395382,0.9969431757926941,0.6986241340637207,0.5599150657653809,0.0077786874026060104,9.999999747378752e-05
0.9968940615653992,0.6864570379257202,0.5477475523948669,0.007936242036521435,0.9969977140426636,0.7094461917877197,0.5737502574920654,0.0077825877815485,9.999999747378752e-05
0.9969868063926697,0.6982154250144958,0.5607483386993408,0.007667988073080778,0.9970890879631042,0.7030243277549744,0.5667172074317932,0.007383530028164387,9.999999747378752e-05
0.9970433712005615,0.7048021554946899,0.5673301219940186,0.007490671705454588,0.997001051902771,0.6892433166503906,0.5484148263931274,0.007519243285059929,9.999999747378752e-05
0.9971057176589966,0.7084259986877441,0.5725780725479126,0.007326322142034769,0.9971320033073425,0.7109770178794861,0.5751912593841553,0.007264210842549801,9.999999747378752e-05
0.9971818327903748,0.7153299450874329,0.579983651638031,0.007133606821298599,0.9972485899925232,0.7323951125144958,0.5985303521156311,0.006879094056785107,9.999999747378752e-05
0.9972003698348999,0.7173691391944885,0.582934558391571,0.007078239228576422,0.9972845911979675,0.7258543372154236,0.592982828617096,0.006798482500016689,9.999999747378752e-05
0.9972541928291321,0.7246673107147217,0.5908360481262207,0.006921534426510334,0.9972484111785889,0.7111386060714722,0.5762428045272827,0.0068530612625181675,9.999999747378752e-05
0.9972779750823975,0.726658046245575,0.5932825207710266,0.006861681118607521,0.9971337914466858,0.7080681324005127,0.572027325630188,0.00730670802295208,9.999999747378752e-05
0.9973954558372498,0.7347628474235535,0.6039650440216064,0.006526869721710682,0.9974058866500854,0.7523317933082581,0.624763011932373,0.006546386051923037,4.999999873689376e-05
0.9974212646484375,0.7417526245117188,0.6103747487068176,0.006478855386376381,0.9974323511123657,0.7420862913131714,0.613565981388092,0.006432226859033108,4.999999873689376e-05
