accuracy,dice_metric,iou_metric,loss,val_accuracy,val_dice_metric,val_iou_metric,val_loss,learning_rate
0.9866284132003784,0.5156772136688232,0.3742956221103668,0.12089993804693222,0.9958232045173645,0.6358113884925842,0.48919808864593506,0.012900695204734802,9.999999747378752e-05
0.996354877948761,0.6395698189735413,0.49223676323890686,0.009808065369725227,0.9956745505332947,0.43179288506507874,0.3057246208190918,0.012259623035788536,9.999999747378752e-05
0.9968292713165283,0.6835196018218994,0.5401875972747803,0.007825454697012901,0.9970698952674866,0.710728108882904,0.5730690360069275,0.0072518158704042435,9.999999747378752e-05
0.9971420168876648,0.7172738909721375,0.5790311694145203,0.006959179416298866,0.9972925186157227,0.7220837473869324,0.5863629579544067,0.006707736756652594,9.999999747378752e-05
0.9973611235618591,0.7368744015693665,0.6022951006889343,0.006403182167559862,0.9974327683448792,0.7558223605155945,0.6276168823242188,0.006190069485455751,9.999999747378752e-05
0.9975182414054871,0.7564433217048645,0.6249555349349976,0.006016742438077927,0.9976568222045898,0.7539069056510925,0.6274123787879944,0.005683117546141148,9.999999747378752e-05
0.9976314306259155,0.7662348747253418,0.6382865905761719,0.005730557255446911,0.9977463483810425,0.7699345946311951,0.6445722579956055,0.005428263917565346,9.999999747378752e-05
0.9977344274520874,0.777309000492096,0.6512270569801331,0.005473845638334751,0.9977608323097229,0.764011025428772,0.6375706195831299,0.005484068766236305,9.999999747378752e-05
0.9978014230728149,0.7854280471801758,0.661492645740509,0.0053014145232737064,0.9978137612342834,0.7777693271636963,0.6560781002044678,0.005274827126413584,9.999999747378752e-05
0.9978601932525635,0.7904257774353027,0.6680999994277954,0.005144726485013962,0.9978843927383423,0.7944843173027039,0.6750971674919128,0.0051225172355771065,9.999999747378752e-05
0.9979302287101746,0.7968512773513794,0.6767066121101379,0.0049836584366858006,0.9979999661445618,0.7999363541603088,0.6833190321922302,0.00484625156968832,9.999999747378752e-05
0.997969388961792,0.8021083474159241,0.6835797429084778,0.004875350743532181,0.9980587363243103,0.8057957887649536,0.690457284450531,0.004668535199016333,9.999999747378752e-05
0.9980111718177795,0.8063004016876221,0.6888545751571655,0.004769532009959221,0.9980153441429138,0.8110994696617126,0.6964901685714722,0.004758546128869057,9.999999747378752e-05
0.9980713725090027,0.8103355765342712,0.6953803300857544,0.004631972871720791,0.998099148273468,0.8280935883522034,0.7169164419174194,0.004560660570859909,9.999999747378752e-05
0.9981018900871277,0.8140972852706909,0.7001818418502808,0.004558584187179804,0.9981029033660889,0.8148095011711121,0.7004382014274597,0.004612463526427746,9.999999747378752e-05
0.9981244802474976,0.8187118172645569,0.7060850262641907,0.004489992279559374,0.9981754422187805,0.8208327293395996,0.709798276424408,0.004382757935672998,9.999999747378752e-05
