accuracy,dice_metric,iou_metric,loss,val_accuracy,val_dice_metric,val_iou_metric,val_loss,learning_rate
0.9957288503646851,0.5454572439193726,0.4215422570705414,0.013829289004206657,0.996817946434021,0.6856337189674377,0.5479066371917725,0.007956785149872303,9.999999747378752e-05
0.9969833493232727,0.7093765735626221,0.5747514963150024,0.007573988754302263,0.997122585773468,0.743687629699707,0.6131479740142822,0.00716906413435936,9.999999747378752e-05
0.9973213076591492,0.7365294694900513,0.6071650981903076,0.006657859776169062,0.9974995851516724,0.7712207436561584,0.6486655473709106,0.006082586944103241,9.999999747378752e-05
0.9975417852401733,0.7620830535888672,0.6370314359664917,0.006030404008924961,0.9975932240486145,0.767745316028595,0.6428753733634949,0.005917338654398918,9.999999747378752e-05
0.9977209568023682,0.7740347981452942,0.6526842713356018,0.0055999355390667915,0.9976596236228943,0.7714078426361084,0.6483010649681091,0.005790600553154945,9.999999747378752e-05
0.9978529810905457,0.7857699394226074,0.6680493354797363,0.00528093334287405,0.9975584745407104,0.7873383164405823,0.6681760549545288,0.006263010669499636,9.999999747378752e-05
0.9979920387268066,0.7990654110908508,0.6842098832130432,0.004923695232719183,0.9980851411819458,0.8055950403213501,0.693946361541748,0.004682771861553192,9.999999747378752e-05
0.9981127381324768,0.8084535598754883,0.6972318291664124,0.004627338610589504,0.9982450604438782,0.8207862377166748,0.7125833630561829,0.004327897913753986,9.999999747378752e-05
0.9981856346130371,0.8206871747970581,0.7122688293457031,0.004449911415576935,0.9982267022132874,0.8346505761146545,0.7315044403076172,0.0043135471642017365,9.999999747378752e-05
0.9982874989509583,0.8276574015617371,0.7216756343841553,0.004207797814160585,0.9983998537063599,0.8439223170280457,0.7435330152511597,0.003951473161578178,9.999999747378752e-05
0.998349666595459,0.8334567546844482,0.7298193573951721,0.004047986585646868,0.9984138011932373,0.8475279211997986,0.749250590801239,0.0038814281579107046,9.999999747378752e-05
0.998421311378479,0.8426494002342224,0.7416847944259644,0.003868557745590806,0.9984831809997559,0.8473226428031921,0.7498918771743774,0.003721554297953844,9.999999747378752e-05
0.9984760880470276,0.8492201566696167,0.7505733370780945,0.003721744753420353,0.9985232949256897,0.8492199182510376,0.7529651522636414,0.003614202607423067,9.999999747378752e-05
0.9985199570655823,0.8531253933906555,0.7567381858825684,0.003607589052990079,0.9982783794403076,0.8327334523200989,0.7321589589118958,0.004321226850152016,9.999999747378752e-05
0.9985690712928772,0.8551465272903442,0.7607616782188416,0.0034858956933021545,0.9986170530319214,0.866646945476532,0.7750652432441711,0.003382834605872631,9.999999747378752e-05
0.9986048936843872,0.8614503741264343,0.7685928344726562,0.0033950728829950094,0.9986335039138794,0.8622033596038818,0.7722739577293396,0.00335682206787169,9.999999747378752e-05
